nctId,type,statement
NCT00168857,Inclusion,"Diabetic nephropathy, as defined by: serum creatinine at Screening (Visit 1) ≤265 μmol/L (3.0 mg/dL) in women and ≤283 μmol/L (3.2 mg/dL) in men urinary protein/creatinine ratio ≥700 mg/g (measured in spot urine) during the run-in phase (Visit 2 or Visit 5 retest)"
NCT02480465,Inclusion,"Applied to 1 or more categories listed below (NCEP-ATP III) SBP ≥ 130mmHg and/or DBP ≥ 85mmHg and/or taking drug for BP control HDL-C: male < 40mg/dl, female < 50mg/dl and/or taking drug for HDL-C increase TG ≥ 150mg/dl and/or taking drug for TG control"
NCT01991548,Inclusion,Subject has the following CGM experience as determined by the Investigator: Has experience and is able to insert/change sensor by herself/himself and Has experience and can recharge the transmitter and Has experience and can read sensor data in real-time on her/his pump screen
NCT06226727,Inclusion,"Those who have body mass index (BMI) within the range of 18.0 to 30.0kg/m² at screening visit In case of a male subject, Those who weigh 50 kg or more In case of a female subject, Those who weigh 45 kg or more"
NCT06137222,Exclusion,"Index ulcer treated within the last 30 days prior to screening with a prohibited treatment or throughout the trial: Negative pressure therapies Hyperbaric Oxygen Any cellular and/or tissue-based products or wound dressings that include growth factors (e.g., EpiFix®, Regranex, Dermagraft®, Apligraf®, GraftJacket™, OASIS®, PriMatrix®)"
NCT00570739,Inclusion,"2-hour post 75 g OGTT glucose levels in the range of: greater than or equal to 200 mg/dL to be enrolled in the T2DM cohort, or greater than or equal to 140 to 200 mg/dL to be enrolled in the pre-diabetes cohort."
NCT00570739,Inclusion,"FPG levels in the range of: greater than or equal to 126 mg/dL to be enrolled in the T2DM cohort, or greater than or equal to 110 to smaller than or equal to 125 mg/dL to be enrolled in the pre-diabetes cohort."
NCT03211858,Exclusion,Participants with T2DM: Use of glucagon-like peptide-1 (GLP-1) receptor agonists in the last 3 months before screening visit. Use of oral antidiabetic drugs (OADs) not on stable dose in the last 3 months before screening visit (sulfonylureas was discontinued at baseline).
NCT05326958,Inclusion,"Part 2, Site 2 Diabetes Mellitus Type 2 without coexisting DPN (NSS score ≤2 and / or NDS score ≤2) Diabetes Mellitus Type 2 with coexisting early to moderate DPN.
(NSS score 3-4 and / or NDS score 3-5) 6.5% < HbA1c ≤ 9.5%"
NCT02091362,Inclusion,"In the investigator's opinion, are well motivated, capable, and willing to: Reliably administer the oral study drug once daily; Maintain a study diary; Perform self-monitored blood glucose testing; and Wear an ambulatory blood pressure monitoring device for at least 24 hours (on multiple occasions)."
NCT06161844,Exclusion,"Serologic examination: human immunodeficiency virus antibody or treponema pallidum antibody positive; hepatitis C antibody positive; hepatitis B surface antigen (HBsAg) is positive, and the quantitative test result of hepatitis B virus DNA is higher than the upper limit of the reference range;"
NCT05683392,Exclusion,For Female: Currently pregnant or planning to become pregnant during the time period of study participation A negative pregnancy test will be required for all females of child-bearing potential Counseling on appropriate birth control options will be provided to all females of child-bearing potential
NCT05514548,Exclusion,"Subjects with a history of significant psychiatric disorder, including but not limited to: Major depression within the last 2 years. Any history of a suicide attempt or suicidal ideation. Subjects with a history of other severe psychiatric disorders (eg, schizophrenia, bipolar disorder)."
NCT02518581,Inclusion,"Stable treatment (>= 3 month) with Oral antidiabetics (OADs) (except OADs that are associated with a reduction in body weight (α-glucosidase inhibitors, sodium glucose transporter 2-inhibitors (SGLT2))) and/or basal insulin injections and/or a dietary regimen.
Subjects on a basal-bolus insulin regimen will not be enrolled."
NCT04445714,Exclusion,"Patients with any of the following CV/Vascular Diseases within 3 months prior to signing the consent at enrolment, as assessed by the investigator: Myocardial infarction. Cardiac surgery or revascularization (CABG/PTCA). Unstable angina. Transient ischemic attack (TIA) or significant cerebrovascular disease. Unstable or previously undiagnosed arrhythmia."
NCT04223895,Inclusion,Those who meet the following conditions of blood pressure measured in a sitting position after sufficient rest at the screening visit Systolic blood pressure: 90mmHg or more and 139mmHg or less Diastolic blood pressure: 60mmHg or more and 89mmHg or less
NCT05327595,Exclusion,"Have a serum calcitonin level of ≥20.0 picograms per milliliter (pg/mL) at screening, if estimated glomerular filtration rate is ≥60 milliliters per minute per 1.73 m² (mL/min/1.73
m²) ≥35.0 pg/mL at screening, if estimated glomerular filtration rate is <60 mL/min/1.73
m²"
NCT05413369,Inclusion,"HbA1c at screening visit: between 7.5% and 11%, both inclusive, for participants previously treated with metformin alone or + SGLT-2 inhibitor, or between 7.0% and 10%, both inclusive, for participants previously treated with metformin + a second oral antidiabetic treatment other than SGLT-2 inhibitor."
NCT01193218,Inclusion,"Male and female patients on diet and exercise regimen who are: drug-naïve, defined as no antidiabetic drugs for 10 weeks prior to informed consent. pre-treated with one oral antidiabetic drug; the present antidiabetic therapy has to be unchanged for 10 weeks prior to informed consent."
NCT02332824,Exclusion,"The participant has a history of any of the cardiovascular diseases listed below within 2 years prior to starting the pre-treatment period: Cardiac diseases: myocardial infarction, coronary arterial revascularization Cerebrovascular diseases: cerebral infarction (excluding lacunar infarction), cerebral hemorrhage, transient ischemic attack"
NCT04260438,Exclusion,"Individuals with one of the following laboratory test results in screening AST, ALT > UNL (upper normal limit) x 3 fasting glucose < 70 mg/dL or > 125 mg/dL Creatinine clearance ≤ 80 mL/min In ECG result, QTc > 450 msec hCG(+) (only women)"
NCT02453555,Inclusion,"HbA1c at Visit 1 1 HbA1c =8.0% and =10.5% for patients who are drug-naïve, or 2 HbA1c =7.5% and =10.5% for patients with one oral antidiabetic drug (except linagliptin), or 3 HbA1c =7.5% and =10.0% for patients with linagliptin 5 mg"
NCT00920764,Exclusion,"15.Subject has clinically significant coronary artery disease (CAD) within 3 months prior to the Screening Period, defined as one of the following: Hospitalization for MI or unstable angina; or New onset angina with positive functional study or coronary angiogram revealing stenosis; or Coronary revascularization procedure."
NCT05199090,Inclusion,"If treated for T2DM, treatment must be limited to diet and exercise and treatment with one of the following anti-diabetic agents (stable for 90 days prior to randomization): Metformin SGLT2i inhibitors (if prescribed as the first line, ie.
single agent) DDP4 inhibitors Acarbose"
NCT05199090,Exclusion,Vitals at screening: systolic blood pressure less than 95 mm Hg or greater than 155 mm Hg diastolic blood pressure less than 60 mg Hg or greater than 95 mm Hg pulse rate less than 56 or greater than 110 bpm
NCT01726621,Inclusion,Subject has the following Continuous Glucose Monitoring experience as determined by the Investigator: Has experience and is able to insert/change sensor by herself/himself and Has experience and can recharge the transmitter and Has experience and can read sensor data in real-time on her/his pump screen
NCT03713684,Exclusion,Laboratory findings at the screening Visit: Alanine aminotransferase or aspartate aminotransferase >3 * upper limit of normal (ULN) or total bilirubin >1.5*ULN (except in case of documented Gilbert's syndrome); Amylase and/or lipase: >3*ULN; Calcitonin >=5.9 picomoles per liter (pmol/L) (20 picograms per milliliter [pg/mL]).
NCT02019264,Inclusion,"Age >= to 40 years with established CV disease as defined by one of the following: History of documented MI or ischemic stroke History of peripheral artery disease History of revascularization (coronary, carotid, or peripheral artery) Significant unrevascularized coronary arterial stenosis"
NCT05268237,Inclusion,Vital signs after 10 minutes resting supine: 90 mmHg <systolic blood pressure <160 mmHg 40 mmHg <diastolic blood pressure <100 mmHg 40 bpm <heart rate <100 bpm Duplicate assessments will be performed and the average of the two assessments of blood pressure will be used.
NCT00625859,Exclusion,"Note: A single childhood febrile seizure is not exclusionary. History or current diagnosis of anorexia nervosa or bulimia. Subjects who, in the investigator's judgement, pose a homicidal or suicidal risk, have ever made a suicide attempt, or have ever been homicidal."
NCT03770728,Exclusion,Laboratory findings at the screening visit: Alanine aminotransferase or aspartate aminotransferase >3*upper limit of the normal (ULN) or total bilirubin >1.5*ULN (except in case of documented Gilbert's syndrome); Amylase and/or lipase: >3*ULN laboratory range; Calcitonin >=5.9 picomoles per liter (20 picograms per milliliter).
NCT05113693,Exclusion,"Those who exceeding an alcohol consumption criteria(210g/week) within 6 months before the first administration of investigational drug. Beer 1 glass(250ml, Alcohol contents 5%) = 10g Soju 1 glass(50ml, Alcohol contents 20%) = 8g Wine 1 glass(125ml, Alcohol contents 12%) = 12g"
NCT05737771,Inclusion,"Those who weigh more than 50.0 kg in men and women, and have a body mass index (BMI) of 18.0 kg/m2 or more and less than 30.0 kg/m2 or less in women. Body mass index (BMI) = Weight (kg) / [Height (m)] 2."
NCT05176210,Exclusion,Female subject of childbearing potential who: Is lactating; or Has a positive pregnancy test result at Screening; or Refuses to adopt at least one form of birth control (refer to Section 5.3) from signing informed consent to the end of the study.
NCT06427083,Inclusion,"Patients with obesity beyond the pre-obesity stage according to the 2022 Korean Endocrine Society obesity treatment guidelines: Pre-obesity stage: BMI 23~24.9
kg/m2 Stage 1 obesity: BMI 25~29.9
kg/m2 Stage 2 obesity: BMI 30~34.9
kg/m2 Stage 3 obesity: BMI ≥ 35 kg/m2"
NCT06289933,Inclusion,"Those who have body mass index (BMI) within the range of 18.0 to 30.0kg/m² at screening visit In case of a male subject, Those who weigh 50 kg or more In case of a female subject, Those who weigh 45 kg or more"
NCT02079805,Exclusion,"Having diagnosed/treated any of the following cardiovascular diseases within 3 months before the start of the treatment period: Cardiac disease/condition: myocardial infarction, coronary revascularization procedure Cerebrovascular disease: cerebral infarction, cerebral haemorrhage, transient ischaemic attack Advanced hypertensive retinopathy (retinal bleeding or oozing, papilloedema)"
NCT02079805,Exclusion,"Having diagnosed/treated for any of the following cardiovascular diseases more than 3 months before the start of the treatment period, and is now still in unstable condition. Cardiac disease/condition: myocardial infarction, coronary revascularization procedure Cerebrovascular disease: cerebral infarction, cerebral haemorrhage, transient ischaemic attack"
NCT00734253,Inclusion,"At the Screening Visit, ALL patients must have a history of overt diabetic nephropathy, as defined by the following: A SCr measurement of 1.3 mg/dL to 3.3 mg/dL (women) or 1.5 mg/dL to 3.5 mg/dL (men) inclusive, and A 24-hour urine collection PCR ≥1200 mg/g;"
NCT04507347,Inclusion,Participants willing to give written informed consent (prior to any study-related procedures being performed) and able to adhere to the study restrictions and assessments schedule stable = a dose no lower than half the current dose and not greater than double the current dose
NCT00254254,Exclusion,Is currently treated with any of the following excluded medications: Sulfonylurea chlorpropamide Thiazolidinedione within 3 months of screening. Αlpha glucosidase inhibitor within 3 months of screening. Meglitinide within 3 months of screening. Insulin within 3 months of screening. Pramlintide within 3 months of screening.
NCT03037385,Inclusion,"Diagnosis during dose escalation (Phase 1) - Pathologically documented, definitively diagnosed non-resectable advanced solid tumor. All participants treated at doses > 120 mg per day must have MTC, or a RET-altered solid tumor per local assessment of tumor tissue and/or blood."
NCT01577745,Inclusion,"Adequate organ and marrow function: Hemoglobin ≥ 10g/dL Absolute Neutrophil Count ≥ 1500/mm3 Platelet Count ≥ 100,000/mm3 AST & ALT ≤ 2.5 x ULN Bilirubin ≤ 1.5 x ULN Cr Cl ≥ 50 mL/min (as determined by the Cockcroft-Gault equation or by 24-hour urine collection)"
NCT02424617,Exclusion,Inadequate liver function as demonstrated by: Serum bilirubin ≥ 1.5 times the upper limit of normal range (ULN); or Alanine aminotransferase (ALT) or aspartate aminotransferase (AST) ≥2.5 times the ULN (up to 5 times the ULN in the presence of liver metastases).
NCT02404441,Inclusion,"Phase II part: Patients with advanced/metastatic solid tumors, with at least one measurable lesion as determined by RECIST version 1.1, who have progressed following their last prior therapy, and fit into one of the following groups: Group 1a and 1b: NSCLC:"
NCT02501096,Inclusion,"Adequate bone marrow function: Absolute neutrophil count (ANC) greater than or equal to 1500/mm3 (greater than or equal to 1.5 X 103/uL) Platelets greater than or equal to 100,000/mm3 (greater than or equal to 100 X 109/L) Hemoglobin greater than or equal to 9.0 g/dL"
NCT04310085,Inclusion,"Female participants should fulfil one of the following criteria: At least 1 year postmenopausal (amenorrhea >12 months and follicle-stimulating hormone [FSH] >30 mIU/mL) prior to screening; Surgically sterile (bilateral oophorectomy, hysterectomy or bilateral salpingectomy); Will use contraceptives as outlined in inclusion criterion 7;"
NCT05979207,Exclusion,Cardiac/QT risk: Family history of sudden death or of congenital prolongation of the QTc interval or known congenital prolongation of the QTc interval or any clinical condition known to prolong the QTc interval. History of symptomatic cardiac arrhythmias or of clinically relevant bradycardia.
NCT04009096,Inclusion,Answer all questions on the informed consent quiz correctly. Female volunteers are required to use an effective form of contraception during the course of the study as malaria challenge could pose a serious risk to both maternal health and the unborn foetus.
NCT02610400,Inclusion,"Acceptability Assessment: Focus group discussions with study participants, Inclusion Criteria: Provides informed consent, and Was eligible to be enrolled in the study in participant's Target Area, and Either took part in RACD or rfMDA intervention (+/- RAVC), OR refused these interventions"
NCT07147400,Exclusion,Receipt of: Live vaccine within 4 weeks prior to enrollment or a killed vaccine within 2 weeks prior to enrollment. Immunoglobulins and/or blood products within the past 3 months. Any malaria vaccine in the past. Any investigational product in the last 6 months
NCT01027663,Exclusion,Individuals with iron deficiency: Iron deficiency will be diagnosed using the biochemical parameters listed below Serum iron: <40 µg/dL Iron binding capacity (transferrin): <40 µg/dL Saturation (SI/TIBC): <10 percent Hemoglobin: < 9 g/dL Red cell morphology: Hypochromia and microcytosis Plasma or serum ferritin: <10 ng/mL
NCT02174978,Exclusion,"Any abnormal baseline laboratory screening tests to include: Aspartate aminotransferase (AST) or alanine aminotransferase (ALT) above normal range, Creatinine above normal range, Hemoglobin out of normal range, Platelet count out of normal range, or Total white blood cell (WBC) count out of normal range"
NCT03707041,Inclusion,"Female subjects should fulfil one of the following criteria: At least 1 year post-menopausal (amenorrhea >12 months and follicle-stimulating hormone (FSH) >30 mIU/mL) prior to screening; Surgically sterile (bilateral oophorectomy, hysterectomy or tubal ligation); Will use contraceptives as outlined in inclusion criteria 7 and 8."
NCT02773979,Exclusion,"History of a psychiatric condition that may make study compliance difficult, such as schizophrenia, or unstable bipolar disorder*. Includes persons with psychoses or history of suicide attempt or gesture in the 3 years before study entry or an ongoing risk for suicide."
NCT05842954,Exclusion,"Any of the following: Aspartate Aminotransferase/ Alanine Aminotransferase (AST/ALT) > 3 x the upper limit of normal (ULN), regardless of the level of total bilirubin Total bilirubin > 3 x ULN Resting QT interval corrected by Fridericia's formula (QTcF) > 450 ms at screening"
NCT02960568,Exclusion,Any abnormal baseline laboratory screening tests listed below (normal values are defined by the current Quest Diagnostics reference guide on file in the CTC): ALT (alanine aminotransferase)above normal range Glomerular filtration rate (GFR) below normal range for the subject's ethnicity Hemoglobin below normal range
NCT02639299,Exclusion,History of or known active cardiac disease including: prior myocardial infarction (heart attack) angina pectoris congestive heart failure valvular heart disease cardiomyopathy pericarditis stroke or transient ischemic attack exertional chest pain or shortness of breath other heart conditions under the care of a doctor
NCT00988507,Exclusion,"Previous treatment within 5 times the elimination half-life or within the last 14 days, whichever the longest : with any anti-malaria agents i.e., quinine, chloroquine, amodiaquine, mefloquine, halofantrine, sufladoxine-pyrimethamine, doxycycline-pyrimethamine, primaquine, artemether, atovaquone, proguanil, lumefantrine, with an other investigational drug with 2D6 main substrates"
NCT05581641,Exclusion,"Any planned non-trial vaccinations starting at Visit 0 and continuously until Visit 11 (28 days after Dose 3) Note: Seasonal influenza and COVID-19 vaccines were allowed; however, they should have been administered at least 14 days before or after any IMP injection"
